title,company,location,date,job_link,description
PURCHASING DATA ANALYST,De'Longhi Group,"Treviso, Veneto, Italy",2026-02-09,https://it.linkedin.com/jobs/view/purchasing-data-analyst-at-de-longhi-group-4361758893?position=36&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=g3HcGVcxn2CMh21ZPDUziA%3D%3D,Description not available
Data Analyst,SDG Group Italy,Greater Milan Metropolitan Area,2025-12-29,https://it.linkedin.com/jobs/view/data-analyst-at-sdg-group-italy-3629191200?position=37&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=XCPgfg71ZLL%2BZk3raKKXRQ%3D%3D,Description not available
Intern - Data Analyst,Lemon Tree Advisory,"Florence, Tuscany, Italy",2026-02-03,https://it.linkedin.com/jobs/view/intern-data-analyst-at-lemon-tree-advisory-4368716372?position=38&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=fA5Uxwkue2AYZ6XPau%2B9ZA%3D%3D,Description not available
Data Analyst,Interroll Group,"Rho, Lombardy, Italy",2026-02-12,https://it.linkedin.com/jobs/view/data-analyst-at-interroll-group-4363247305?position=39&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=FIueJP%2B2xTnWXZCGQBtjkQ%3D%3D,Description not available
Intern - Data Analyst,Lemon Tree Advisory,"Bologna, Emilia-Romagna, Italy",2026-02-03,https://it.linkedin.com/jobs/view/intern-data-analyst-at-lemon-tree-advisory-4368716358?position=40&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=CEzgmelPY20rlhEgIJOzPQ%3D%3D,Description not available
Intern - Data Analyst,Lemon Tree Advisory,"Rome, Latium, Italy",2026-02-03,https://it.linkedin.com/jobs/view/intern-data-analyst-at-lemon-tree-advisory-4368712688?position=41&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=w9e%2BGIDIY7O6ckzfBjHTuA%3D%3D,Description not available
Junior Data Analyst,STIGA,"Castelfranco Veneto, Veneto, Italy",2026-02-05,https://it.linkedin.com/jobs/view/junior-data-analyst-at-stiga-4349137433?position=42&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=rTPVe5i017yZNX4YC2jl4w%3D%3D,Description not available
Junior Analyst (Italia),Temsi,"Bologna, Emilia-Romagna, Italy",2026-02-11,https://it.linkedin.com/jobs/view/junior-analyst-italia-at-temsi-4371287183?position=43&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=0K2zgQeCv8tEr7P%2BfaGxbA%3D%3D,Description not available
BI & Data Analytics Intern,Ayvens,"Rome, Latium, Italy",2026-01-13,https://it.linkedin.com/jobs/view/bi-data-analytics-intern-at-ayvens-4353110021?position=44&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=w4OGqv%2BQZHYSJnN%2FwWyZyw%3D%3D,Description not available
Intern - Data Analyst,Lemon Tree Advisory,"Genoa, Liguria, Italy",2026-02-03,https://it.linkedin.com/jobs/view/intern-data-analyst-at-lemon-tree-advisory-4368718329?position=45&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=qd0ngtbKcIVWlPlHiDO0Mw%3D%3D,Description not available
Demand Management Intern,Renault Group,"Rome, Latium, Italy",2026-02-09,https://it.linkedin.com/jobs/view/demand-management-intern-at-renault-group-4370525034?position=46&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=71DSRLYUmiYt2oG7d0%2Fuqw%3D%3D,Description not available
Data Visualization Analyst,NEVERHACK Italy,"Rome, Latium, Italy",2026-02-12,https://it.linkedin.com/jobs/view/data-visualization-analyst-at-neverhack-italy-4364121489?position=47&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=nt1Lb%2BmDIX9m25op9EmoOw%3D%3D,Description not available
Internship Data Analyst,Air Liquide,"Milan, Lombardy, Italy",2026-01-28,https://it.linkedin.com/jobs/view/internship-data-analyst-at-air-liquide-4338912701?position=48&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=09Gs8XbX5WhPmoFL8%2Biy6Q%3D%3D,Description not available
Business & Data Analyst Internship,Dompé,"Milan, Lombardy, Italy",2026-01-20,https://it.linkedin.com/jobs/view/business-data-analyst-internship-at-domp%C3%A9-4364398830?position=49&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=Mh9WniHWhnpPMjpgS89r5Q%3D%3D,Description not available
Data Analyst,Onit,"Forlì, Emilia-Romagna, Italy",2025-10-15,https://it.linkedin.com/jobs/view/data-analyst-at-onit-4158303901?position=50&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=qOEjw3i68jX6RqokLhkDCg%3D%3D,"Profilo ricercato:

Ricerchiamo una figura di Data Analyst qualificata e proattiva. La persona ideale ha 1-2 anni di esperienza e ha conseguito la Laurea in Informatica o discipline STEM.

Si occuperà di analisi dei requisiti, progettazione e realizzazione di ambienti interattivi per l'analisi dati e creazione di strati semantici per facilitare l'accesso ai dati, anche da parte di utenti non tecnici. Sarà coinvolta in studi di fattibilità, confronto di soluzioni e stima dei benefici, garantendo la copertura funzionale.

Dovrà inoltre produrre documentazione, manuali utente e formare il personale, anche con training on the job. Infine, parteciperà alla sperimentazione di nuovi prodotti, sviluppo di prototipi e valutazione delle nuove tecnologie attraverso analisi costi/benefici.

Skills tecniche

Modellazione dati di tipo normalizzato per basi dati operazionali e modelli dati per il data warehouse, metodologia e modelli OLAP e ROLAP, tecniche di analisi multidimensionale, linguaggio SQL
Conoscenza di tematiche applicative, best practice e metodologie di analisi, disegno e test in ambito data warehouse, business intelligence e analytics
Conoscenza della piattaforma Qlik Sense per l'analisi e l'elaborazione dei dati, la produzione di reportistica, la realizzazione di strati semantici per l'accesso ai dati da parte di utenti non specialisti
Conoscenza della piattaforma MS Power BI per l'analisi e l'elaborazione dei dati, la produzione di reportistica, la realizzazione di strati semantici per l'accesso ai dati da parte di utenti non specialisti.

Soft Skills

Capacità di lavorare in team e comunicare efficacemente
Capacità analitiche e problem-solving
Curiosità e propensione all'apprendimento costante
Precisione e orientamento all'obiettivo

Nice To Have

Conoscenza Apache Spark
Conoscenza piattaforma Pentaho

Cosa offriamo:

Possibilità di smart-working
Flessibilità oraria
Ambiente di lavoro giovane, collaborativo ed innovativo
Academy interna e possibilità di crescita professionale

Essere parte di Onit vuol dire abbracciare valori come onestà, rispetto, equità, trasparenza, fiducia e responsabilità. Questi pilastri sono alla base delle nostre relazioni interne, creando un ambiente in cui ognuno può esercitare la propria attività in modo responsabile e flessibile. Accogliamo con entusiasmo candidati di ogni identità, convinti che la diversità sia la nostra più grande forza.

Se ti riconosci nei nostri valori, candidati ora. Ti contatteremo per un primo colloquio conoscitivo o conserveremo il tuo CV per opportunità future.

Dedichiamo tempo e cura alla valorizzazione del tuo talento, investiamo nelle tue competenze e diamo spazio alla tua voglia di metterti alla prova e fare la differenza. Se vuoi crescere insieme a ONIT verso l'obiettivo di essere il miglior partner nell'innovazione digitale, entra a far parte del nostro team!

La certificazione Great Place to Work conferma il nostro impegno per un ambiente lavorativo in cui il benessere e lo sviluppo delle persone sono la priorità, tanto quanto la soddisfazione dei clienti.

La registrazione sul nostro gestionale potrà esser fatta da te direttamente attraverso il pulsante ""candidati"" o dall'Ufficio People di Onit.

Ci teniamo a precisare che l'indice di compatibilità restituito dai test presenti in piattaforma è solo un riferimento per la valutazione; incoraggiamo tutte le persone a candidarsi alle nostre offerte di lavoro."
